"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0SA80","2020-02-15 00:00:00","136.000","240.000","0.700","20.600","0.950","1001.900","","1.500","-99.000","-99.000","-99.000","27.600","","17.700",""
"C0T960","2020-02-15 00:00:00","120.000","0.000","0.200","20.800","0.990","1003.600","","0.500","-99.000","-99.000","-99.000","28.900","","19.500",""
"C0X320","2020-02-15 00:00:00","30.000","11.000","1.600","21.200","0.940","1012.700","","2.500","-99.000","-99.000","-99.000","29.600","","19.900",""
"C0UA50","2020-02-15 00:00:00","808.000","307.000","1.200","16.700","0.990","927.400","","0.000","-99.000","-99.000","-99.000","19.300","","16.200",""
"C0F0C0","2020-02-15 00:00:00","983.000","193.000","1.300","16.500","0.990","908.300","","0.000","-99.000","-99.000","-99.000","24.100","","15.300",""
"C0D480","2020-02-15 00:00:00","223.000","0.000","0.000","18.400","0.980","992.000","","0.500","-99.000","-99.000","-99.000","27.900","","16.400",""
"C0K291","2020-02-15 00:00:00","8.000","4.000","1.000","20.500","0.930","1016.300","","0.000","-99.000","-99.000","-99.000","25.300","","20.200",""
"C0X170","2020-02-15 00:00:00","50.000","57.000","0.800","22.100","0.990","1010.500","","1.500","-99.000","-99.000","-99.000","29.900","","19.600",""
"C0AH30","2020-02-15 00:00:00","755.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R130","2020-02-15 00:00:00","1040.000","99.000","1.100","17.500","0.990","900.600","","3.500","-99.000","-99.000","-99.000","26.000","","16.600",""
"C0M790","2020-02-15 00:00:00","15.000","41.000","0.700","21.100","0.880","1014.000","","0.000","-99.000","-99.000","-99.000","28.700","","20.300",""
"C0C590","2020-02-15 00:00:00","72.000","25.000","0.500","17.400","0.960","1009.900","","0.500","-99.000","-99.000","-99.000","23.600","","17.000",""
"C0G780","2020-02-15 00:00:00","27.000","349.000","1.800","21.200","0.910","1013.900","","0.000","-99.000","-99.000","-99.000","28.200","","19.500",""
"C0V660","2020-02-15 00:00:00","25.000","0.000","0.200","22.400","0.960","1014.900","","2.000","-99.000","-99.000","-99.000","29.100","","21.400",""
"C0M700","2020-02-15 00:00:00","150.000","0.000","0.000","20.800","1.000","1000.500","","0.500","-99.000","-99.000","-99.000","28.500","","17.100",""
"C0U990","2020-02-15 00:00:00","31.000","125.000","0.600","20.700","0.900","1014.900","","0.000","-99.000","-99.000","-99.000","25.700","","20.700",""
"C0D590","2020-02-15 00:00:00","143.000","53.000","1.100","17.400","0.990","1003.200","","0.500","-99.000","-99.000","-99.000","23.800","","16.700",""
"C0S790","2020-02-15 00:00:00","236.000","301.000","1.600","21.200","0.900","992.100","","0.500","-99.000","-99.000","-99.000","30.400","","19.100",""
"C0A570","2020-02-15 00:00:00","360.000","86.000","0.900","16.900","0.990","977.900","","7.000","-99.000","-99.000","-99.000","24.800","","16.000",""
"C0M800","2020-02-15 00:00:00","440.000","0.000","0.200","19.900","0.980","968.000","","2.000","-99.000","-99.000","-99.000","27.100","","16.300",""
"C0E870","2020-02-15 00:00:00","34.000","0.000","0.100","19.000","0.990","1016.300","","0.000","-99.000","-99.000","-99.000","26.600","","16.500",""
"C0V490","2020-02-15 00:00:00","20.000","349.000","1.500","24.200","0.990","1014.500","","0.500","-99.000","-99.000","-99.000","28.300","","22.000",""
"C0M710","2020-02-15 00:00:00","15.000","27.000","0.300","20.500","0.900","1015.300","","0.000","-99.000","-99.000","-99.000","25.800","","20.400",""
"C0D570","2020-02-15 00:00:00","15.000","0.000","0.000","18.600","1.000","1016.900","","0.000","-99.000","-99.000","-99.000","24.000","","15.600",""
"C0S910","2020-02-15 00:00:00","212.000","265.000","0.300","23.200","0.990","994.300","","0.000","-99.000","-99.000","-99.000","27.500","","20.400",""
"C0M650","2020-02-15 00:00:00","20.000","9.000","0.900","20.800","0.910","1014.900","","0.000","-99.000","-99.000","-99.000","28.200","","20.200",""
"C0K280","2020-02-15 00:00:00","23.000","348.000","1.400","20.400","0.950","1016.600","","0.000","-99.000","-99.000","-99.000","28.900","","19.700",""
"C0X310","2020-02-15 00:00:00","9.000","26.000","2.400","22.000","0.860","1016.500","","0.000","-99.000","-99.000","-99.000","27.600","","20.700",""
"C0A9C0","2020-02-15 00:00:00","35.000","238.000","1.400","19.400","0.920","1015.100","","0.500","-99.000","-99.000","-99.000","27.200","","18.100",""
"C0V810","2020-02-15 00:00:00","32.000","337.000","0.500","22.900","1.000","1011.900","","1.500","-99.000","-99.000","-99.000","27.300","","21.600",""
"C0E730","2020-02-15 00:00:00","26.000","28.000","0.500","19.200","0.890","1013.900","","0.000","-99.000","-99.000","-99.000","25.500","","17.100",""
"C0V770","2020-02-15 00:00:00","26.000","26.000","0.700","23.100","0.900","1013.500","","0.000","-99.000","-99.000","-99.000","28.900","","20.700",""
"C0UA10","2020-02-15 00:00:00","1711.000","336.000","0.800","11.100","1.000","836.000","","0.500","-99.000","-99.000","-99.000","17.900","","9.100",""
"C0R660","2020-02-15 00:00:00","20.000","98.000","1.500","22.600","0.820","1014.900","","0.000","-99.000","-99.000","-99.000","26.400","","20.200",""
"C0M640","2020-02-15 00:00:00","155.000","0.000","0.000","20.400","0.990","999.000","","1.000","-99.000","-99.000","-99.000","26.900","","18.900",""
"C0S660","2020-02-15 00:00:00","794.000","194.000","0.900","16.500","0.940","931.100","","0.000","-99.000","-99.000","-99.000","24.900","","14.200",""
